City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Sisimiut,GL,2020-07-28 21:29:59,66.94,-53.67,47.03,73,10,5.79
217,Arman,RU,2020-07-28 21:29:59,59.7,150.17,56.93,94,100,4.52
218,Cabo San Lucas,MX,2020-07-28 21:26:44,22.89,-109.91,91.4,83,75,19.46
219,Kabare,CD,2020-07-28 21:29:59,-2.47,28.82,61.14,62,32,1.12
220,Burgeo,CA,2020-07-28 21:29:59,47.62,-57.62,62.19,89,100,4.16
221,Bosaso,SO,2020-07-28 21:29:59,11.28,49.18,89.73,54,9,7.0
222,Castro,BR,2020-07-28 21:29:59,-24.79,-50.01,65.59,64,77,5.21
223,Manono,CD,2020-07-28 21:29:59,-7.3,27.42,71.71,37,0,4.88
224,Upernavik,GL,2020-07-28 21:30:00,72.79,-56.15,43.54,81,85,9.44
225,Mitzic,GA,2020-07-28 21:30:00,0.78,11.55,68.38,92,2,3.6
226,Acapulco,MX,2020-07-28 21:30:00,16.86,-99.89,86.0,70,75,4.7
227,Marzuq,YE,2020-07-28 21:30:00,14.4,46.47,76.93,56,0,5.28
228,Hualmay,PE,2020-07-28 21:30:00,-11.1,-77.61,65.34,69,8,10.25
229,Gizo,SB,2020-07-28 21:30:00,-8.1,156.84,82.4,75,98,2.66
230,Puerto Rico,AR,2020-07-28 21:30:00,-26.8,-55.02,49.69,94,99,4.5
231,Eagle Pass,US,2020-07-28 21:30:00,28.71,-100.5,93.2,46,40,6.93
232,Itaituba,BR,2020-07-28 21:30:00,-4.28,-55.98,95.0,32,20,5.82
233,Booue,GA,2020-07-28 21:30:00,-0.09,11.94,74.44,76,27,3.11
234,Kununurra,AU,2020-07-28 21:30:00,-15.77,128.73,53.6,38,0,9.51
235,Bataipora,BR,2020-07-28 21:25:24,-22.3,-53.27,75.81,52,73,8.21
236,Bawku,GH,2020-07-28 21:30:01,11.06,-0.24,75.65,85,100,5.48
237,Atraulia,IN,2020-07-28 21:30:01,26.33,82.95,78.8,100,75,4.7
238,Naze,JP,2020-07-28 21:30:01,28.37,129.48,82.4,88,20,3.36
239,Vidim,RU,2020-07-28 21:30:01,56.41,103.11,56.37,81,100,3.85
240,Livingston,GB,2020-07-28 21:30:01,55.9,-3.52,55.0,76,20,11.41
241,Kostomuksha,RU,2020-07-28 21:30:02,64.57,30.58,56.82,87,60,7.49
242,Katima Mulilo,NA,2020-07-28 21:30:02,-17.5,24.27,46.4,49,0,5.77
243,Tongliao,CN,2020-07-28 21:30:02,43.61,122.27,72.45,78,61,13.24
244,Xiamen,CN,2020-07-28 21:30:03,24.48,118.08,82.4,78,75,6.71
245,Padang,ID,2020-07-28 21:30:03,-0.95,100.35,76.12,81,74,3.69
246,Chicama,PE,2020-07-28 21:30:03,-7.84,-79.15,67.06,62,8,7.94
247,Seydi,TM,2020-07-28 21:30:03,39.48,62.91,81.19,22,0,15.73
248,Moravske Budejovice,CZ,2020-07-28 21:30:03,49.05,15.81,68.0,88,95,8.14
249,Ziro,IN,2020-07-28 21:30:03,27.63,93.83,59.0,100,100,0.45
250,Iqaluit,CA,2020-07-28 21:28:45,63.75,-68.51,69.8,49,75,12.75
251,Nizhniy Kuranakh,RU,2020-07-28 21:30:03,58.84,125.49,69.82,88,79,2.04
252,Vila,PT,2020-07-28 21:30:04,42.03,-8.16,75.99,68,0,6.93
253,Kabin Buri,TH,2020-07-28 21:30:04,13.95,101.72,77.31,84,93,1.28
254,Fortuna,US,2020-07-28 21:30:04,40.6,-124.16,70.0,72,20,11.41
255,Kruisfontein,ZA,2020-07-28 21:30:04,-34.0,24.73,55.99,87,30,8.12
256,Cocobeach,GA,2020-07-28 21:30:05,1.0,9.58,77.0,83,40,9.17
257,Faanui,PF,2020-07-28 21:30:05,-16.48,-151.75,78.64,78,100,20.98
258,Sunam,IN,2020-07-28 21:30:05,30.13,75.8,88.63,56,59,9.6
259,Severnyy,RU,2020-07-28 21:30:05,50.68,36.55,73.4,49,21,4.47
260,Quemado De Guines,CU,2020-07-28 21:30:05,22.79,-80.25,89.6,55,40,16.11
261,Granada,ES,2020-07-28 21:30:05,37.25,-3.25,87.8,23,0,6.93
262,Tabuk,PH,2020-07-28 21:30:05,17.42,121.44,74.32,86,94,1.36
263,Saldanha,ZA,2020-07-28 21:30:05,-33.01,17.94,50.0,81,0,3.36
264,Mount Isa,AU,2020-07-28 21:30:05,-20.73,139.5,53.6,40,0,6.93
265,Ajdabiya,LY,2020-07-28 21:30:06,30.76,20.23,75.78,73,0,10.69
266,Kaoma,ZM,2020-07-28 21:30:06,-14.78,24.8,54.05,53,0,7.58
267,Erding,DE,2020-07-28 21:30:06,48.31,11.91,71.01,88,40,10.29
268,Tumarbong,PH,2020-07-28 21:30:06,10.38,119.46,79.14,84,100,4.72
269,Guilin,CN,2020-07-28 21:30:06,25.28,110.29,77.0,94,75,1.57
270,Destin,US,2020-07-28 21:30:06,30.39,-86.5,82.99,78,40,12.35
271,Sorland,NO,2020-07-28 21:30:06,67.67,12.69,64.4,72,8,6.93
272,Bubaque,GW,2020-07-28 21:30:06,11.28,-15.83,79.18,85,100,18.97
273,Alexandroupoli,GR,2020-07-28 21:30:07,40.85,25.87,80.01,58,1,6.53
