City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Condition,Date
246,Cochrane,CA,51.18,-114.47,77.0,65,75,12.75,broken clouds,2020-07-31 01:13:54
247,Muros,ES,42.78,-9.06,63.0,93,90,4.7,fog,2020-07-31 01:13:54
248,Amapa,BR,1.0,-52.0,73.0,92,98,1.54,overcast clouds,2020-07-31 01:13:54
249,Sao Benedito Do Rio Preto,BR,-3.33,-43.53,76.71,70,7,3.38,clear sky,2020-07-31 01:13:54
250,Tawau,MY,4.25,117.89,78.8,100,20,2.24,few clouds,2020-07-31 01:13:54
251,Berea,US,41.37,-81.85,75.99,56,90,8.05,overcast clouds,2020-07-31 01:09:44
252,Medea,DZ,36.26,2.75,75.2,94,20,5.12,few clouds,2020-07-31 01:13:54
253,Isangel,VU,-19.55,169.27,80.6,69,86,6.93,overcast clouds,2020-07-31 01:13:54
254,Scarborough,GB,54.28,-0.4,62.01,84,100,10.02,overcast clouds,2020-07-31 01:12:41
255,Iona,US,26.52,-81.96,84.0,74,75,8.05,broken clouds,2020-07-31 01:13:55
256,Qazvin,IR,36.28,50.0,66.2,63,46,2.24,scattered clouds,2020-07-31 01:13:55
257,Perth,AU,-31.93,115.83,57.99,87,20,6.93,few clouds,2020-07-31 01:13:21
258,Wattegama,LK,6.8,81.48,77.0,100,40,8.05,scattered clouds,2020-07-31 01:13:55
259,Viedma,AR,-40.81,-63.0,46.99,65,58,7.0,broken clouds,2020-07-31 01:13:55
260,Bafra,TR,41.57,35.91,71.6,83,75,3.36,broken clouds,2020-07-31 01:13:55
261,Vuktyl,RU,63.86,57.31,55.99,67,100,11.97,overcast clouds,2020-07-31 01:13:55
262,Siyabuswa,ZA,-25.11,29.04,48.06,51,0,3.33,clear sky,2020-07-31 01:13:55
263,Natal,BR,-5.79,-35.21,75.2,83,40,12.75,scattered clouds,2020-07-31 01:11:43
264,Gat,IL,31.61,34.76,77.0,58,0,1.23,clear sky,2020-07-31 01:13:55
265,Gudari,IN,19.35,83.78,79.38,88,97,0.31,overcast clouds,2020-07-31 01:13:55
266,Nacala,MZ,-14.54,40.67,60.8,82,0,8.05,clear sky,2020-07-31 01:13:56
267,Boguchany,RU,58.38,97.45,66.18,69,10,1.74,clear sky,2020-07-31 01:13:56
268,Kuzovatovo,RU,53.55,47.69,62.15,96,100,6.4,overcast clouds,2020-07-31 01:13:56
269,Airai,TL,-8.93,125.41,66.65,45,96,4.74,overcast clouds,2020-07-31 01:13:56
270,Fort Smith,US,35.39,-94.4,87.8,66,20,4.7,few clouds,2020-07-31 01:10:15
271,Kathu,TH,7.92,98.33,84.99,83,75,11.41,light rain,2020-07-31 01:13:56
