City_ID,City,Country,Max Temp,Weather Condition,Lat,Lng,Hotel Name
349,Kudahuvadhoo,MV,82.89,light rain,2.67,72.89,Kudahuvadhoo Retreat
350,Hovd,MN,59.2,clear sky,48.01,91.64,Hotel Khovd
351,Kompaniyivka,UA,71.6,overcast clouds,48.25,32.21,np.nan
352,Tandil,AR,43.0,overcast clouds,-37.32,-59.13,HOSTAL DE LA SIERRA TANDIL
353,Bubaque,GW,80.1,light rain,11.28,-15.83,Casa Dora
354,Dabat,ET,53.08,light rain,12.98,37.77,Haymanot hotel
355,Gari,RU,52.77,light rain,59.43,62.35,np.nan
356,Havoysund,NO,57.2,few clouds,71.0,24.66,Arctic View Glamping & Restaurant
357,Caxito,AO,69.8,broken clouds,-8.58,13.66,np.nan
358,Chagoda,RU,52.23,overcast clouds,59.16,35.33,Rodnik
359,Morant Bay,JM,89.6,scattered clouds,17.88,-76.41,Whispering Bamboo Cove Resort
360,Rajula,IN,81.32,light rain,21.05,71.43,Lion Lords Inn Rajula
361,Mwinilunga,ZM,52.36,clear sky,-11.74,24.43,Kwakuwahi Lodge
362,Grindavik,IS,50.0,broken clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
363,Katherine,AU,73.4,clear sky,-14.47,132.27,Pine Tree Motel
364,Dalvik,IS,48.2,overcast clouds,65.97,-18.53,Dalvík HI Hostel
365,Chernyshevskiy,RU,63.41,broken clouds,63.01,112.47,Chernyseyskiy
366,Kladovo,RS,73.0,clear sky,44.61,22.61,Hotel Continental Drobeta-Turnu Severin
367,Valparaiso,CL,53.01,overcast clouds,-33.04,-71.63,Hotel Ultramar
368,Gavle,SE,57.99,scattered clouds,60.67,17.14,Scandic CH
369,San Patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
370,Adrar,MR,90.72,light rain,20.5,-10.07,np.nan
371,Faanui,PF,78.98,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
372,Faya,SA,66.2,few clouds,18.39,42.45,مقبرة ال مجمل
373,Souillac,MU,71.6,broken clouds,-20.52,57.52,Bils' Villa
374,Trinidad,BO,65.19,clear sky,-14.83,-64.9,Hotel Piesta
375,Ukiah,US,96.8,clear sky,39.15,-123.21,Hampton Inn Ukiah
376,Padang,ID,75.2,scattered clouds,-0.95,100.35,Mercure Padang
377,Banda Aceh,ID,81.01,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
378,Geraldton,AU,51.8,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
379,San Jeronimo,PE,52.3,overcast clouds,-11.95,-75.28,Tuki Llajta Pueblo Bonito Eco Lodge
380,Tres Picos,MX,81.84,moderate rain,15.87,-93.53,HOTEL TRES PICOS
381,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
382,Tessalit,ML,94.26,clear sky,20.2,1.01,np.nan
383,Bull Savanna,JM,80.47,clear sky,17.89,-77.59,Big Red's
384,Sabha,LY,83.95,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
385,Pietersburg,ZA,44.6,clear sky,-23.9,29.47,Fusion Boutique Hotel
386,Palu,ID,82.78,light rain,-0.89,119.87,Hotel Santika Palu
387,Gayeri,BF,82.4,overcast clouds,12.65,0.49,np.nan
388,Mount Darwin,ZW,52.99,clear sky,-16.77,31.58,np.nan
389,Kondoa,TZ,56.53,clear sky,-4.9,35.78,Kinyuma Lodge
390,Saint-Pierre,RE,68.0,few clouds,-21.34,55.48,Lindsey Hôtel
391,Novobureyskiy,RU,76.3,overcast clouds,49.8,129.88,"Gostinitsa ""Medvezhiy Ugol"""
392,Srednekolymsk,RU,60.44,broken clouds,67.45,153.68,np.nan
393,Kushiro,JP,69.8,fog,42.98,144.37,東横INN釧路十字街
394,Kalanguy,RU,68.65,moderate rain,51.02,116.52,np.nan
395,Tommot,RU,59.9,light rain,58.96,126.29,Gostinitsa Tommot
396,Novovasylivka,UA,72.88,overcast clouds,46.83,35.75,np.nan
397,West Bay,KY,86.0,few clouds,19.37,-81.42,Calypso Cove
398,Borogontsy,RU,71.15,clear sky,62.67,131.17,np.nan
399,Fort Nelson,CA,78.8,clear sky,58.81,-122.7,The Fort Nelson Hotel
400,Bairnsdale,AU,54.0,clear sky,-37.83,147.62,Town Central Motel
401,Laguna De Perlas,NI,80.94,overcast clouds,12.34,-83.67,Hotel Best View
402,Tiksi,RU,42.53,overcast clouds,71.69,128.87,Arktika
403,Azul,AR,44.01,overcast clouds,-36.78,-59.86,Cabañas Dulcinea
404,Itiuba,BR,65.26,clear sky,-10.69,-39.85,Resort Hotel-Rc
405,Paita,PE,62.08,few clouds,-5.09,-81.11,Hotel Náutico de Paita
406,Amuntai,ID,82.36,broken clouds,-2.42,115.25,Hotel Balqis
408,Kandrian,PG,81.3,light rain,-6.22,149.55,Kandrian Station
409,Kybartai,LT,53.92,few clouds,54.64,22.76,Gostevoy Dom
410,Sydney,AU,59.0,light rain,-33.87,151.21,QT Sydney
411,Los Llanos De Aridane,ES,73.4,overcast clouds,28.66,-17.92,Valle Aridane
412,Mercedes,AR,48.99,clear sky,-34.65,-59.43,Posada del Inti Centro
413,Solnechnyy,RU,66.33,light rain,50.72,136.63,Hotel complex Pastoral
414,Itarema,BR,78.3,clear sky,-2.92,-39.92,Windvillage
415,Sibolga,ID,78.91,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
416,Strai,NO,59.0,broken clouds,58.2,7.9,Mosterøy
417,Tuy Hoa,VN,79.65,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
418,Novikovo,RU,60.69,overcast clouds,51.15,37.89,np.nan
419,Fairbanks,US,78.8,few clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
420,Abu Samrah,SY,75.22,clear sky,35.3,37.18,np.nan
421,Christchurch,NZ,55.99,overcast clouds,-43.53,172.63,The George
422,Andenes,NO,55.4,clear sky,69.31,16.12,Hotell Marena
423,Leshukonskoye,RU,51.91,overcast clouds,64.9,45.76,Gostinitsa Mup Zhkkh
424,Port Lincoln,AU,58.68,broken clouds,-34.73,135.87,Port Lincoln Hotel
425,Zhanaozen,KZ,68.05,clear sky,43.3,52.8,K.korabay 28A
426,Port-Gentil,GA,74.48,overcast clouds,-0.72,8.78,Fengshui Residence
427,Waddan,LY,75.81,clear sky,29.16,16.14,محل الشريف محمد العايب
428,Nalut,LY,76.71,clear sky,30.33,10.85,np.nan
429,Mombetsu,JP,73.4,scattered clouds,44.35,143.35,Okhotsk Palace Hotel
430,Nizwa,OM,89.06,broken clouds,22.93,57.53,Orient Apartments
431,Vallenar,CL,64.76,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
432,Cam Ranh,VN,86.0,broken clouds,11.92,109.16,OYO 598 Peony Hotel
433,Chifeng,CN,81.68,overcast clouds,42.27,118.96,Junyu Tiancheng Hotel
434,Leningradskiy,RU,41.76,overcast clouds,69.38,178.42,np.nan
435,Akureyri,IS,48.2,overcast clouds,65.68,-18.09,Icelandair Hotel Akureyri
436,Esperance,AU,50.0,clear sky,-33.87,121.9,Hospitality Esperance
437,Broome,US,72.0,overcast clouds,42.25,-75.83,Chenango Valley State Park
438,Severo-Kurilsk,RU,56.25,overcast clouds,50.68,156.12,Kak Doma
439,Juneau,US,77.0,scattered clouds,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
440,Sao Geraldo Do Araguaia,BR,79.21,broken clouds,-6.4,-48.55,Hotel Rio Araguaia
441,Huarmey,PE,61.21,scattered clouds,-10.07,-78.15,Hotel Miramar
442,Tahoua,NE,77.0,moderate rain,14.89,5.27,Bungalows Guesthouse
443,Dire,ML,72.28,overcast clouds,12.28,-10.97,np.nan
444,Hervey Bay,AU,68.0,clear sky,-25.3,152.85,Shelly Bay Resort
445,Tervel,BG,68.0,clear sky,43.75,27.4,Хотели Тервел - Хотел Алгара
446,Coahuayana,MX,77.0,broken clouds,18.73,-103.68,Hotel Los Arcos
447,San Quintin,MX,72.19,clear sky,30.48,-115.95,Old Mill Hotel
448,Mogadishu,SO,77.65,light rain,2.04,45.34,Hotel Juba
449,Mayo,US,84.2,light rain,38.89,-76.51,Resorts Resource Group International
450,Sabang,ID,83.28,overcast clouds,5.89,95.32,Hotel Citra
451,Puerto Baquerizo Moreno,EC,66.15,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
452,Palauig,PH,80.11,moderate rain,15.44,119.9,Myhousebythesea
453,Olinda,BR,71.6,broken clouds,-8.01,-34.86,Hotel 5 Sóis
454,Portland,US,96.01,few clouds,45.52,-122.68,Portland Marriott City Center
455,Touros,BR,73.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
456,Elliot Lake,CA,71.6,overcast clouds,46.38,-82.63,Frontier Lodge
457,Yacuiba,BO,48.99,few clouds,-22.04,-63.68,Hotel Monumental
458,Yerbogachen,RU,61.25,broken clouds,61.28,108.01,np.nan
459,Dawson Creek,CA,75.2,clear sky,55.77,-120.24,Peace Villa Motel
460,Zhezkazgan,KZ,64.4,overcast clouds,47.8,67.71,Kvartiry Posutochno.
461,Mexico,PH,82.4,broken clouds,15.06,120.72,Maharlika Hostel
462,Alihe,CN,74.77,scattered clouds,50.57,123.72,Alihe Forestry Hotel
463,Edeleny,HU,68.0,clear sky,48.3,20.73,Apollo Vendégház
464,Brentwood,US,82.0,overcast clouds,40.78,-73.25,Holiday Inn Express Hauppauge-Long Island
465,Mannargudi,IN,80.82,overcast clouds,10.67,79.43,MANNAI GRAND INN
466,Kaputa,ZM,68.67,scattered clouds,-8.47,29.66,Chelelwa Charlets
467,Cidreira,BR,56.75,clear sky,-30.18,-50.21,Novomar Pousada e Turismo Ltda
468,Bodden Town,KY,86.0,few clouds,19.28,-81.25,Will T Place
469,Brejo,BR,77.14,clear sky,-3.68,-42.75,Hotel E Pousada Muypuras
470,Coolum Beach,AU,68.0,broken clouds,-26.53,153.1,Coolum Beach Resort
471,Shakhtinsk,KZ,53.6,scattered clouds,49.71,72.59,Orifleym
472,Porto Murtinho,BR,57.7,clear sky,-21.7,-57.88,Hotel Pantanal
473,Rocha,UY,40.33,clear sky,-34.48,-54.33,Beleza Pura B&B
474,Ishigaki,JP,87.8,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
475,Kribi,CM,75.27,moderate rain,2.95,9.92,Les Vagues bleues
476,San Nicolas,PH,82.4,overcast clouds,18.17,120.6,NORTHVIEW Hotel
477,Shahpur,IN,75.9,overcast clouds,16.7,76.83,Sai Deluxe Shahapur
478,Bonavista,CA,55.99,overcast clouds,48.65,-53.11,Abbott's Bed & Breakfast
